ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
201,7.4318,0.654631,0.712293,0.712293,0.739901,-0.18348,-0.18348,0.74256,-0.223467,-0.223467,0.654631,0.728182,0.728182,0,All,#4682B4,0
201,7.7857,0.654631,0.704441,0.704441,0.739901,-0.143782,-0.143782,0.74256,-0.183768,-0.183768,0.654631,0.698068,0.698068,0,All,#4682B4,0
201,8.1396,0.654631,2.17266,2.17266,0.739901,1.75779,1.75779,0.74256,1.7178,1.7178,0.654631,2.04038,2.04038,0,All,#4682B4,0
201,8.4935,0.654631,0.658745,0.658745,0.739901,-0.234703,-0.234703,0.74256,-0.27469,-0.27469,0.654631,0.638802,0.638802,0,All,#4682B4,0
201,8.8474,0.654631,1.3595,1.3595,0.739901,0.710295,0.710295,0.74256,0.670309,0.670309,0.654631,1.26929,1.26929,0,All,#4682B4,0
201,9.2013,0.654631,1.45546,1.45546,0.739901,0.695094,0.695094,0.74256,0.655107,0.655107,0.654631,1.44586,1.44586,0,All,#4682B4,0
201,9.5552,0.654631,1.64399,1.64399,0.739901,1.14629,1.14629,0.74256,1.1063,1.1063,0.654631,1.72015,1.72015,0,All,#4682B4,0
201,9.9091,0.654631,3.26194,3.26194,0.739901,3.26155,3.26155,0.74256,3.22156,3.22156,0.654631,2.53285,2.53285,0,All,#4682B4,0
201,10.263,0.654631,2.10591,2.10591,0.739901,1.64884,1.64884,0.74256,1.60885,1.60885,0.654631,2.01413,2.01413,0,All,#4682B4,0
201,10.6169,0.654631,1.62047,1.62047,0.739901,1.14613,1.14613,0.74256,1.10614,1.10614,0.654631,1.80173,1.80173,0,All,#4682B4,0
201,10.9708,0.654631,1.22231,1.22231,0.739901,0.444896,0.444896,0.74256,0.404909,0.404909,0.654631,1.14796,1.14796,0,All,#4682B4,0
201,11.3247,0.654631,0.82817,0.82817,0.739901,-0.0714726,-0.0714726,0.74256,-0.111459,-0.111459,0.654631,0.840746,0.840746,0,All,#4682B4,0
201,11.6786,0.654631,1.87085,1.87085,0.739901,1.34656,1.34656,0.74256,1.30657,1.30657,0.654631,1.71844,1.71844,0,All,#4682B4,0
201,12.0325,0.654631,1.39618,1.39618,0.739901,0.728857,0.728857,0.74256,0.68887,0.68887,0.654631,1.35799,1.35799,0,All,#4682B4,0
201,12.3863,0.654631,1.63727,1.63727,0.739901,1.11284,1.11284,0.74256,1.07286,1.07286,0.654631,1.58734,1.58734,0,All,#4682B4,0
201,12.7402,0.654631,1.48278,1.48278,0.739901,0.933468,0.933468,0.74256,0.893481,0.893481,0.654631,1.41937,1.41937,0,All,#4682B4,0
201,13.0941,0.654631,1.31456,1.31456,0.739901,0.561933,0.561933,0.74256,0.521946,0.521946,0.654631,1.31529,1.31529,0,All,#4682B4,0
201,13.448,0.654631,0.869453,0.869453,0.739901,-0.100417,-0.100417,0.74256,-0.140403,-0.140403,0.654631,0.917376,0.917376,0,All,#4682B4,0
201,13.8019,0.654631,1.19845,1.19845,0.739901,0.526806,0.526806,0.74256,0.486819,0.486819,0.654631,1.15292,1.15292,0,All,#4682B4,0
201,14.1558,0.654631,0.875979,0.875979,0.739901,0.131939,0.131939,0.74256,0.0919526,0.0919526,0.654631,0.930467,0.930467,0,All,#4682B4,0
201,14.5097,0.654631,1.0402,1.0402,0.739901,0.314886,0.314886,0.74256,0.2749,0.2749,0.654631,1.02904,1.02904,0,All,#4682B4,0
201,14.8636,0.654631,0.931647,0.931647,0.739901,0.218544,0.218544,0.74256,0.178558,0.178558,0.654631,0.935967,0.935967,0,All,#4682B4,0
201,15.2175,0.654631,1.10424,1.10424,0.739901,0.346648,0.346648,0.74256,0.306661,0.306661,0.654631,1.15528,1.15528,0,All,#4682B4,0
201,15.5714,0.654631,1.65465,1.65465,0.739901,1.01621,1.01621,0.74256,0.976227,0.976227,0.654631,1.59792,1.59792,0,All,#4682B4,0
201,15.9253,0.654631,1.82637,1.82637,0.739901,1.37058,1.37058,0.74256,1.3306,1.3306,0.654631,1.74264,1.74264,0,All,#4682B4,0
201,16.2792,0.654631,0.699521,0.699521,0.739901,-0.26318,-0.26318,0.74256,-0.303167,-0.303167,0.654631,0.723095,0.723095,0,All,#4682B4,0
201,16.6331,0.654631,1.35528,1.35528,0.739901,0.588575,0.588575,0.74256,0.548589,0.548589,0.654631,1.39973,1.39973,0,All,#4682B4,0
201,16.987,0.654631,2.73674,2.73674,0.739901,2.42974,2.42974,0.74256,2.38975,2.38975,0.654631,2.73245,2.73245,0,All,#4682B4,0
